Id,AdjoinId1,AdjoinId2,AdjoinId3,AdjoinId4,AdjoinId5
1,2,,,,
2,1,,,,
3,,,,,
4,,,,,
5,106,,,,
6,,,,,
7,107,,,,
8,,,,,
9,,,,,
10,,,,,
11,12,,,,
12,11,,,,
13,15,,,,
14,15,,,,
15,13,14,,,
16,,,,,
17,18,,,,
18,17,19,,,
19,18,,,,
20,21,,,,
21,20,,,,
22,23,,,,
23,22,24,25,,
24,23,25,,,
25,23,24,,,
26,27,28,,,
27,26,29,,,
28,26,29,,,
29,27,28,30,34,
30,29,31,34,35,
31,30,32,35,36,37
32,31,33,,,
33,32,,,,
34,29,30,35,,
35,30,31,34,36,
36,31,35,37,,
37,31,36,,,
38,39,41,,,
39,38,40,41,42,
40,39,42,,,
41,38,39,42,43,44
42,39,40,41,44,
43,41,44,45,,
44,41,42,43,46,
45,43,46,47,48,
46,44,45,48,,
47,45,48,49,,
48,45,46,47,49,50
49,47,48,50,51,
50,48,49,51,,
51,49,50,,,
52,54,,,,
53,54,,,,
54,52,53,,,
55,,,,,
56,57,,,,
57,56,,,,
58,59,,,,
59,58,60,,,
60,59,62,,,
61,59,62,,,
62,60,61,,,
63,64,,,,
64,63,,,,
65,,,,,
66,68,,,,
67,69,,,,
68,66,,,,
69,67,,,,
70,,,,,
71,72,,,,
72,71,74,,,
73,,,,,
74,72,,,,
75,76,,,,
76,75,,,,
77,78,,,,
78,77,,,,
79,80,,,,
80,79,,,,
81,83,,,,
82,83,,,,
83,81,82,,,
84,,,,,
85,86,87,,,
86,85,,,,
87,85,89,90,,
88,,,,,
89,87,90,91,,
90,87,89,91,,
91,89,90,,,
92,93,,,,
93,92,95,,,
94,95,,,,
95,93,94,,,
96,97,,,,
97,96,,,,
98,99,,,,
99,98,100,,,
100,99,101,,,
101,100,102,,,
102,101,103,,,
103,102,104,,,
104,103,,,,
105,,,,,
106,5,,,,
107,7,,,,
