x1,y1,x2,y2
90.00,134.00,1350.00,115.00
92.00,266.00,1017.00,249.00
106.00,357.00,787.00,351.00
1112.00,327.00,1193.00,318.00
1048.00,408.00,1106.00,405.00
797.00,433.00,1036.00,433.00
370.00,517.00,564.00,513.00
108.00,565.00,364.00,553.00
104.00,680.00,1410.00,655.00
100.00,111.00,118.00,700.00
369.00,517.00,370.00,556.00
559.00,352.00,567.00,668.00
788.00,352.00,806.00,697.00
1017.00,112.00,1019.00,248.00
1054.00,407.00,1034.00,437.00
1033.00,434.00,1037.00,662.00
1109.00,326.00,1108.00,404.00
1192.00,116.00,1194.00,318.00
1333.00,83.00,1370.00,671.00
