x,y,len,wid
188.50,145.50,9.00,13.00
197.50,145.50,9.00,13.00
240.00,194.00,30.00,114.00
204.00,281.50,16.00,29.00
367.00,332.00,18.00,30.00
385.00,382.50,36.00,43.00
285.00,478.00,28.00,30.00
335.50,423.00,27.00,24.00
287.00,531.00,28.00,28.00
392.00,532.00,32.00,24.00
417.50,194.50,39.00,117.00
455.50,226.00,29.00,48.00
508.50,227.50,25.00,47.00
527.00,151.00,16.00,30.00
520.00,169.50,38.00,65.00
594.50,221.50,31.00,51.00
430.50,287.00,33.00,38.00
463.50,291.50,33.00,45.00
464.50,331.50,33.00,33.00
591.50,275.00,27.00,22.00
602.50,314.50,21.00,55.00
575.50,376.00,15.00,22.00
577.50,395.50,15.00,15.00
575.00,413.00,10.00,18.00
593.50,412.50,21.00,21.00
643.00,359.00,30.00,14.00
642.00,393.50,36.00,53.00
667.50,360.50,17.00,13.00
672.50,395.00,25.00,54.00
703.00,371.00,20.00,34.00
721.00,368.50,18.00,43.00
741.00,359.50,16.00,15.00
762.50,360.00,23.00,16.00
697.00,405.00,16.00,30.00
713.50,404.50,15.00,25.00
728.50,407.00,17.00,30.00
742.50,405.50,13.00,35.00
580.00,443.00,18.00,16.00
580.50,474.00,21.00,46.00
580.00,503.50,20.00,13.00
607.50,451.50,37.00,41.00
601.00,492.50,20.00,35.00
635.50,448.00,21.00,38.00
630.00,490.50,34.00,33.00
656.00,445.50,18.00,35.00
657.00,488.50,22.00,39.00
673.00,441.50,20.00,29.00
676.00,483.00,26.00,48.00
699.50,446.50,27.00,37.00
699.00,487.50,20.00,39.00
726.00,483.50,32.00,43.00
578.50,542.00,27.00,46.00
581.00,580.00,26.00,26.00
653.50,554.50,123.00,71.00
602.00,614.00,26.00,24.00
676.50,611.00,47.00,24.00
720.50,607.00,33.00,28.00
820.00,152.00,50.00,20.00
859.50,164.50,21.00,51.00
880.50,160.50,29.00,53.00
862.00,219.50,22.00,55.00
886.50,217.00,33.00,60.00
953.50,174.00,39.00,62.00
965.00,163.50,22.00,35.00
997.50,278.50,25.00,31.00
952.50,310.50,21.00,21.00
981.00,305.00,24.00,10.00
952.00,356.00,30.00,62.00
980.50,326.50,27.00,33.00
983.50,372.50,33.00,25.00
1056.00,242.50,34.00,13.00
1057.00,266.50,36.00,37.00
1089.50,246.50,23.00,27.00
1033.00,301.00,28.00,38.00
1032.00,376.00,24.00,26.00
1021.00,414.00,42.00,38.00
1081.50,339.50,43.00,31.00
1076.00,380.00,46.00,52.00
1132.00,301.50,24.00,27.00
1149.50,291.00,17.00,32.00
1163.50,132.00,33.00,24.00
1157.00,178.00,26.00,26.00
1183.00,188.00,20.00,90.00
1237.00,254.00,26.00,42.00
1310.00,247.50,24.00,37.00
1332.50,244.00,21.00,30.00
1305.00,288.00,16.00,36.00
1333.00,295.00,20.00,10.00
1277.00,324.00,38.00,38.00
1313.50,327.00,33.00,38.00
1298.50,359.00,49.00,34.00
1179.50,371.00,77.00,28.00
1126.50,432.50,33.00,35.00
1083.00,465.00,28.00,40.00
1108.00,465.00,28.00,40.00
1237.50,396.00,29.00,24.00
1239.50,445.00,31.00,72.00
1057.50,529.50,43.00,71.00
1092.00,511.00,30.00,32.00
1123.00,507.50,36.00,25.00
1166.00,510.50,52.00,35.00
1203.00,517.00,26.00,46.00
1247.50,530.50,61.00,23.00
1268.00,497.00,20.00,20.00
1305.00,585.50,38.00,55.00
380.50,306.50,37.00,49.00
292.50,425.00,51.00,72.00
