id,x,y,distance
1,188.50,145.50,12.98
2,197.50,145.50,13.12
3,240.00,194.00,62.25
4,204.00,281.50,17.56
5,367.00,332.00,22.70
6,385.00,382.50,27.96
7,285.00,478.00,78.62
8,335.50,423.00,68.02
9,287.00,531.00,25.58
10,392.00,532.00,15.45
11,417.50,194.50,65.43
12,455.50,226.00,33.31
13,508.50,227.50,30.84
14,527.00,151.00,23.59
15,520.00,169.50,41.98
16,594.50,221.50,35.26
17,430.50,287.00,27.22
18,463.50,291.50,32.32
19,464.50,331.50,22.34
20,591.50,275.00,18.18
21,602.50,314.50,38.12
22,575.50,376.00,15.89
23,577.50,395.50,17.39
24,575.00,413.00,14.45
25,593.50,412.50,32.96
26,643.00,359.00,6.73
27,642.00,393.50,41.22
28,667.50,360.50,8.45
29,672.50,395.00,42.99
30,703.00,371.00,19.26
31,721.00,368.50,16.92
32,741.00,359.50,8.09
33,762.50,360.00,8.78
34,697.00,405.00,53.20
35,713.50,404.50,52.85
36,728.50,407.00,55.48
37,742.50,405.50,48.23
38,580.00,443.00,18.69
39,580.50,474.00,18.41
40,580.00,503.50,17.16
41,607.50,451.50,45.97
42,601.00,492.50,38.43
43,635.50,448.00,74.05
44,630.00,490.50,67.47
45,656.00,445.50,93.34
46,657.00,488.50,94.51
47,673.00,441.50,89.49
48,676.00,483.00,113.65
49,699.50,446.50,93.30
50,699.00,487.50,95.94
51,726.00,483.50,68.77
52,578.50,542.00,14.69
53,581.00,580.00,16.22
54,653.50,554.50,89.34
55,602.00,614.00,36.36
56,676.50,611.00,58.03
57,720.50,607.00,61.19
58,820.00,152.00,29.00
59,859.50,164.50,42.10
60,880.50,160.50,38.42
61,862.00,219.50,32.34
62,886.50,217.00,34.39
63,953.50,174.00,53.02
64,965.00,163.50,42.69
65,997.50,278.50,29.14
66,952.50,310.50,60.30
67,981.00,305.00,55.33
68,952.00,356.00,77.00
69,980.50,326.50,76.82
70,983.50,372.50,60.50
71,1056.00,242.50,37.08
72,1057.00,266.50,42.26
73,1089.50,246.50,70.51
74,1033.00,301.00,54.41
75,1032.00,376.00,35.78
76,1021.00,414.00,19.00
77,1081.50,339.50,27.32
78,1076.00,380.00,26.52
79,1132.00,301.50,23.14
80,1149.50,291.00,31.64
81,1163.50,132.00,14.19
82,1157.00,178.00,35.61
83,1183.00,188.00,9.71
84,1237.00,254.00,43.63
85,1310.00,247.50,33.29
86,1332.50,244.00,10.61
87,1305.00,288.00,40.82
88,1333.00,295.00,13.31
89,1277.00,324.00,71.02
90,1313.50,327.00,34.78
91,1298.50,359.00,51.76
92,1179.50,371.00,51.19
93,1126.50,432.50,33.98
94,1083.00,465.00,49.45
95,1108.00,465.00,60.02
96,1237.50,396.00,89.31
97,1239.50,445.00,116.05
98,1057.50,529.50,22.82
99,1092.00,511.00,57.64
100,1123.00,507.50,88.70
101,1166.00,510.50,121.27
102,1203.00,517.00,141.94
103,1247.50,530.50,113.43
104,1268.00,497.00,90.87
105,1305.00,585.50,59.50
106,380.50,306.50,45.79
107,292.50,425.00,69.64
